City,Cloudiness,Country,Date,Humidity,Lat,Long,Max_Temp,Wind Speed
Qaanaaq,98,GL,1555676672,78,77.48,-69.36,-28.53,2.7
Bredasdorp,100,ZA,1555676132,32,-34.53,20.04,27.0,9.3
Lixourion,20,GR,1555676457,59,38.2,20.43,19.0,3.6
Atuona,41,PF,1555676680,74,-9.8,-139.03,28.48,4.52
Comodoro Rivadavia,0,AR,1555675200,57,-45.87,-67.48,11.0,8.2
Iqaluit,75,CA,1555676573,79,63.75,-68.52,-4.0,5.7
Karlskoga,0,SE,1555676673,20,59.33,14.52,21.11,3.6
Tuatapere,100,NZ,1555676406,94,-46.13,167.69,11.67,0.63
Hobart,0,AU,1555676505,87,-42.88,147.33,7.78,2.1
Albany,75,US,1555676567,77,42.65,-73.75,18.89,7.7
Harper,40,US,1555676693,71,30.3,-99.24,11.67,2.1
Mataura,100,NZ,1555676406,94,-46.19,168.86,11.67,0.71
Tasiilaq,96,GL,1555674600,85,65.61,-37.64,3.0,7.2
New Norfolk,0,AU,1555676505,87,-42.78,147.06,7.78,2.1
Ushuaia,75,AR,1555675200,81,-54.81,-68.31,6.0,10.8
Leh,0,IN,1555676715,33,34.16,77.58,-1.43,1.5
Dikson,100,RU,1555676717,86,73.51,80.55,-13.83,1.52
Cidreira,0,BR,1555676718,76,-30.17,-50.22,20.38,2.9
Tiksi,75,RU,1555676719,86,71.64,128.87,-8.33,3.87
Jutai,99,BR,1555676721,95,-1.71,-47.89,26.28,0.94
Zabaykalsk,34,CN,1555676723,49,49.64,117.33,9.08,14.33
Mabaruma,52,GY,1555676725,89,8.2,-59.78,25.28,1.43
Walvis Bay,0,NA,1555675329,40,-22.95,14.51,23.0,4.1
Znamenka,8,RU,1555676730,23,52.41,41.44,10.68,3.01
Hithadhoo,90,MV,1555676731,76,-0.6,73.08,29.58,5.85
Hilo,90,US,1555676718,83,19.71,-155.08,23.89,2.6
Miandrivazo,12,MG,1555676737,41,-19.53,45.46,34.98,2.29
Nikolskoye,0,RU,1555676737,37,59.7,30.79,15.56,7.0
Kalabo,56,ZM,1555676740,41,-15.0,22.67,30.28,3.13
Hermanus,77,ZA,1555676160,78,-34.42,19.24,20.56,2.68
Saint George,40,GR,1555676604,48,39.45,22.34,18.33,1.05
Rikitea,8,PF,1555676749,75,-23.12,-134.97,25.78,3.17
Yellowknife,90,CA,1555675200,92,62.45,-114.38,-1.0,4.6
Goianesia,44,BR,1555676675,79,-15.32,-49.12,24.88,1.54
Busselton,50,AU,1555676723,96,-33.64,115.35,8.33,12.79
Georgetown,75,GY,1555675200,88,6.8,-58.16,26.0,6.2
Uribia,99,CO,1555676758,68,11.71,-72.27,27.18,6.46
Bluff,9,AU,1555676759,63,-23.58,149.07,21.88,3.77
Khatanga,93,RU,1555676760,91,71.98,102.47,-17.63,1.53
Cuenca,100,ES,1555676602,78,40.07,-2.13,10.0,3.56
Kapaa,75,US,1555676602,73,22.08,-159.32,24.0,8.2
Tazovskiy,100,RU,1555676519,91,67.47,78.7,-7.93,3.75
Chokurdakh,0,RU,1555676767,85,70.62,147.9,-17.33,2.57
Litovko,100,RU,1555676769,75,49.24,135.18,1.18,1.34
Ribeira Grande,75,PT,1555673400,100,38.52,-28.7,17.0,4.1
Arauco,90,CL,1555675200,100,-37.25,-73.32,11.0,2.1
Lae,98,PG,1555676777,69,-6.72,146.98,22.58,0.97
Varnamo,0,SE,1555676133,16,57.19,14.04,19.44,2.6
